,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
125,5,6,January,0.03980288541415092,0.0,0.2187,Off-Peak,327.79933743492666
126,6,6,January,0.0811698868729445,0.0,0.2324,Peak,334.5259504653731
127,7,6,January,0.061456873122091187,0.0,0.2324,Peak,366.02618709575637
128,8,6,January,0.07423741171463942,0.0,0.2324,Peak,380.62785928379867
129,9,6,January,0.04961281087565138,0.012689655469798946,0.2324,Peak,382.10443287584786
130,10,6,January,0.04242125236829199,0.0,0.2324,Peak,376.69032970500086
131,11,6,January,0.041640378176088406,0.0,0.2324,Peak,375.5418835778514
132,12,6,January,0.0679518758821343,0.0,0.2324,Peak,377.18252090235046
133,13,6,January,0.04379525287053192,0.0013387989080866287,0.2324,Peak,372.424672661303
134,14,6,January,0.03867865839995528,0.0,0.2324,Peak,377.18252090235046
135,15,6,January,0.03857860281260317,0.0,0.2324,Peak,388.0107272440448
136,16,6,January,0.03770497683201785,0.0,0.2324,Peak,403.9249092916864
137,17,6,January,0.044976899303607265,0.0,0.2324,Peak,425.9094494399748
138,18,6,January,0.07705172038972162,0.0,0.2324,Peak,448.2221170531629
139,19,6,January,0.10992414032401124,0.0,0.2324,Peak,460.8550244518063
140,20,6,January,0.06195009617729541,0.0,0.2324,Peak,463.3159804385549
141,21,6,January,0.04681486914085574,0.0,0.2324,Peak,458.23000473260765
142,22,6,January,0.04318169730207271,0.0,0.2324,Peak,450.19088184256185
143,23,6,January,0.039408856698293214,0.0,0.2187,Off-Peak,427.22195929957405
144,0,7,January,0.035139993594635065,0.0,0.2187,Off-Peak,396.54204133144026
145,1,7,January,0.032288767333475216,0.0,0.2187,Off-Peak,363.40116737655785
146,2,7,January,0.0336409413563942,0.0,0.2187,Off-Peak,345.35415680706734
147,3,7,January,0.03380639000496615,0.0,0.2187,Off-Peak,331.5728032812746
148,4,7,January,0.03306874163584292,0.0,0.2187,Off-Peak,327.143082505127
149,5,7,January,0.037086861447129166,0.0,0.2187,Off-Peak,327.79933743492666
150,6,7,January,0.07976070396296571,0.0,0.2324,Peak,334.5259504653731
151,7,7,January,0.08848390613688496,0.0,0.2324,Peak,366.02618709575637
152,8,7,January,0.10762098069307048,0.0,0.2324,Peak,380.62785928379867
153,9,7,January,0.09097148370187168,0.0,0.2324,Peak,382.10443287584786
154,10,7,January,0.08871895958829704,0.0,0.2324,Peak,376.69032970500086
155,11,7,January,0.08593479360155074,0.0,0.2324,Peak,375.5418835778514
156,12,7,January,0.11028970430578973,0.0,0.2324,Peak,377.18252090235046
157,13,7,January,0.08645680991250837,0.0,0.2324,Peak,372.424672661303
158,14,7,January,0.0839780235323923,0.0,0.2324,Peak,377.18252090235046
159,15,7,January,0.07881272584527903,0.0,0.2324,Peak,388.0107272440448
160,16,7,January,0.07497786220063174,0.0,0.2324,Peak,403.9249092916864
161,17,7,January,0.07226112495741432,0.0,0.2324,Peak,425.9094494399748
162,18,7,January,0.104320757471094,0.0,0.2324,Peak,448.2221170531629
163,19,7,January,0.1338584152086169,0.0,0.2324,Peak,460.8550244518063
164,20,7,January,0.07072888326289573,0.0,0.2324,Peak,463.3159804385549
165,21,7,January,0.06099172705716303,0.0,0.2324,Peak,458.23000473260765
166,22,7,January,0.04658190100316265,0.0,0.2324,Peak,450.19088184256185
167,23,7,January,0.037941130469693406,0.0,0.2187,Off-Peak,427.22195929957405
168,0,8,January,0.03451068301262448,0.0,0.2187,Off-Peak,396.54204133144026
169,1,8,January,0.031146159208029482,0.0,0.2187,Off-Peak,363.40116737655785
170,2,8,January,0.03273085756188086,0.0,0.2187,Off-Peak,345.35415680706734
171,3,8,January,0.032769924644136014,0.0,0.2187,Off-Peak,331.5728032812746
172,4,8,January,0.03201514240100368,0.0,0.2187,Off-Peak,327.143082505127
173,5,8,January,0.035840206682872015,0.0,0.2187,Off-Peak,327.79933743492666
174,6,8,January,0.08137402771842278,0.0,0.2324,Peak,334.5259504653731
175,7,8,January,0.08883701919856682,0.0,0.2324,Peak,366.02618709575637
176,8,8,January,0.1098929230714604,0.0,0.2324,Peak,380.62785928379867
177,9,8,January,0.08989940611450722,0.06930441028400525,0.2324,Peak,382.10443287584786
178,10,8,January,0.08712447917961046,0.10938392961109213,0.2324,Peak,376.69032970500086
179,11,8,January,0.08448201257361901,0.01607854397731299,0.2324,Peak,375.5418835778514
180,12,8,January,0.10801986205003172,0.033326939058597294,0.2324,Peak,377.18252090235046
181,13,8,January,0.08526661935692574,0.009878544593499274,0.2324,Peak,372.424672661303
182,14,8,January,0.0826391265364662,0.0,0.2324,Peak,377.18252090235046
183,15,8,January,0.07657418477644587,0.001116084244815406,0.2324,Peak,388.0107272440448
184,16,8,January,0.07226495654557823,0.0,0.2324,Peak,403.9249092916864
185,17,8,January,0.0703891462814902,0.0,0.2324,Peak,425.9094494399748
186,18,8,January,0.10140449101191083,0.0,0.2324,Peak,448.2221170531629
187,19,8,January,0.13532856413336805,0.0,0.2324,Peak,460.8550244518063
188,20,8,January,0.06704250337924307,0.0,0.2324,Peak,463.3159804385549
189,21,8,January,0.058782236579628326,0.0,0.2324,Peak,458.23000473260765
190,22,8,January,0.04325202452860765,0.0,0.2324,Peak,450.19088184256185
191,23,8,January,0.03651629975012415,0.0,0.2187,Off-Peak,427.22195929957405
192,0,9,January,0.033322638306803626,0.0,0.2187,Off-Peak,396.54204133144026
193,1,9,January,0.030198658768394362,0.0,0.2187,Off-Peak,363.40116737655785
194,2,9,January,0.03112309793355812,0.0,0.2187,Off-Peak,345.35415680706734
195,3,9,January,0.03099092369324865,0.0,0.2187,Off-Peak,331.5728032812746
196,4,9,January,0.03017377413105413,0.0,0.2187,Off-Peak,327.143082505127
197,5,9,January,0.033754883850074496,0.0,0.2187,Off-Peak,327.79933743492666
198,6,9,January,0.06716136420065283,0.0,0.2324,Peak,334.5259504653731
199,7,9,January,0.08136562752600696,0.0,0.2324,Peak,366.02618709575637
200,8,9,January,0.10118189743270987,0.0,0.2324,Peak,380.62785928379867
201,9,9,January,0.08393679504666365,0.009575846685797236,0.2324,Peak,382.10443287584786
202,10,9,January,0.0807697339326208,0.012568398824338262,0.2324,Peak,376.69032970500086
203,11,9,January,0.07986712081027092,0.014390035474767512,0.2324,Peak,375.5418835778514
204,12,9,January,0.10398535491714968,0.006777102514601236,0.2324,Peak,377.18252090235046
205,13,9,January,0.07878145549128772,0.0049508877110378,0.2324,Peak,372.424672661303
206,14,9,January,0.07922115490596122,0.0019170726449011816,0.2324,Peak,377.18252090235046
207,15,9,January,0.07247303710397966,0.0026492287688098266,0.2324,Peak,388.0107272440448
208,16,9,January,0.06732318952316195,0.0,0.2324,Peak,403.9249092916864
209,17,9,January,0.06601139811422274,0.0,0.2324,Peak,425.9094494399748
210,18,9,January,0.09842100129762184,0.0,0.2324,Peak,448.2221170531629
211,19,9,January,0.130045832265424,0.0,0.2324,Peak,460.8550244518063
212,20,9,January,0.06308968879079767,0.0,0.2324,Peak,463.3159804385549
213,21,9,January,0.05755978444026241,0.0,0.2324,Peak,458.23000473260765
214,22,9,January,0.042644330872213074,0.0,0.2324,Peak,450.19088184256185
215,23,9,January,0.037105748911890016,0.0,0.2187,Off-Peak,427.22195929957405
216,0,10,January,0.031300769078125415,0.0,0.2187,Off-Peak,396.54204133144026
217,1,10,January,0.028020638183956715,0.0,0.2187,Off-Peak,363.40116737655785
218,2,10,January,0.029482498414490712,0.0,0.2187,Off-Peak,345.35415680706734
219,3,10,January,0.031110171904649882,0.0,0.2187,Off-Peak,331.5728032812746
220,4,10,January,0.028772130049400137,0.0,0.2187,Off-Peak,327.143082505127
221,5,10,January,0.033071890079719814,0.0,0.2187,Off-Peak,327.79933743492666
222,6,10,January,0.07012428732909738,0.0,0.2324,Peak,334.5259504653731
223,7,10,January,0.07686356194005299,0.0,0.2324,Peak,366.02618709575637
224,8,10,January,0.100421042540944,0.0,0.2324,Peak,380.62785928379867
225,9,10,January,0.07912256409896698,0.00837460036370422,0.2324,Peak,382.10443287584786
226,10,10,January,0.07505900618979447,0.005551610640369288,0.2324,Peak,376.69032970500086
227,11,10,January,0.07562065621349455,0.005560380867311891,0.2324,Peak,375.5418835778514
228,12,10,January,0.1085483768787923,0.020942273138918117,0.2324,Peak,377.18252090235046
229,13,10,January,0.07789816034169575,0.029200753380538583,0.2324,Peak,372.424672661303
230,14,10,January,0.0754957946711014,0.0021737068967794537,0.2324,Peak,377.18252090235046
231,15,10,January,0.0695139704710487,0.0015512279097129374,0.2324,Peak,388.0107272440448
232,16,10,January,0.0653765669597347,0.0,0.2324,Peak,403.9249092916864
233,17,10,January,0.06415130679428735,0.0,0.2324,Peak,425.9094494399748
234,18,10,January,0.09917354901696332,0.0,0.2324,Peak,448.2221170531629
235,19,10,January,0.1306014134702199,0.0,0.2324,Peak,460.8550244518063
236,20,10,January,0.06444329323839268,0.0,0.2324,Peak,463.3159804385549
237,21,10,January,0.06247246030476489,0.0,0.2324,Peak,458.23000473260765
238,22,10,January,0.04343304287148121,0.0,0.2324,Peak,450.19088184256185
239,23,10,January,0.03577734988786952,0.0,0.2187,Off-Peak,427.22195929957405
240,0,11,January,0.033501506371834085,0.0,0.2187,Off-Peak,396.54204133144026
241,1,11,January,0.028694497063697432,0.0,0.2187,Off-Peak,363.40116737655785
242,2,11,January,0.030159796045897694,0.0,0.2187,Off-Peak,345.35415680706734
243,3,11,January,0.031598304552654284,0.0,0.2187,Off-Peak,331.5728032812746
244,4,11,January,0.029434673964818737,0.0,0.2187,Off-Peak,327.143082505127
245,5,11,January,0.03329864401160512,0.0,0.2187,Off-Peak,327.79933743492666
246,6,11,January,0.07138039712873219,0.0,0.2324,Peak,334.5259504653731
247,7,11,January,0.0788279486980952,0.0,0.2324,Peak,366.02618709575637
248,8,11,January,0.10046973249179876,0.0,0.2324,Peak,380.62785928379867
249,9,11,January,0.08136990579065663,0.010548926416486278,0.2324,Peak,382.10443287584786
250,10,11,January,0.07646772752057689,0.010714223151531914,0.2324,Peak,376.69032970500086
251,11,11,January,0.07201652209221374,0.01588628922871579,0.2324,Peak,375.5418835778514
252,12,11,January,0.10458308293966312,0.016565914592562882,0.2324,Peak,377.18252090235046
253,13,11,January,0.0739200841043158,0.02306399738247614,0.2324,Peak,372.424672661303
254,14,11,January,0.07121297830522724,0.01374960952295688,0.2324,Peak,377.18252090235046
255,15,11,January,0.0650637698193126,0.002751285446131576,0.2324,Peak,388.0107272440448
256,16,11,January,0.06182105403937864,0.0,0.2324,Peak,403.9249092916864
257,17,11,January,0.060522154250165994,0.0,0.2324,Peak,425.9094494399748
258,18,11,January,0.09632096234432236,0.0,0.2324,Peak,448.2221170531629
